number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	total	
60	244	23	38	23	29	29	38	177	8	3	1	6	0	3	4	59	685
65	249	25	37	27	29	30	39	187	6	2	1	4	0	2	4	53	695
70	252	27	38	27	33	28	43	204	4	1	1	4	0	2	4	42	710
75	256	30	41	33	33	30	47	214	3	1	1	3	0	2	3	33	730
80	260	37	44	36	34	35	46	226	2	1	1	3	0	2	3	23	753
85	277	50	52	43	47	29	50	232	2	1	4	2	0	3	4	8	804
90	317	68	68	37	53	31	51	223	2	2	1	3	1	2	2	4	865
92	336	80	72	48	58	40	53	210	0	1	0	2	0	1	0	4	905
95	429	114	82	67	66	44	56	182	0	0	1	0	0	0	0	1	1042
97	575	167	106	61	70	32	59	147	0	0	0	1	0	0	0	0	1218
99	1048	262	104	82	57	40	31	72	0	0	0	0	0	0	0	0	1696
